student_id,gender,attendance,study_hours,test1,test2,test3,parent_education_level
1,male,88,3.0,66,71,75,none
2,male,78,3.7,45,51,48,none
3,female,64,2.7,42,35,33,graduate
4,female,92,2.1,49,43,34,primary
5,female,57,1.1,59,56,54,graduate
6,female,70,2.0,82,82,81,primary
7,male,88,0.6,55,59,55,postgraduate
8,female,68,3.6,83,87,87,primary
9,male,72,1.4,52,52,54,postgraduate
10,female,60,1.7,62,51,45,postgraduate
11,male,60,1.2,83,90,90,graduate
12,male,73,2.3,66,53,48,postgraduate
13,female,85,2.8,72,56,44,primary
14,female,89,3.6,76,75,77,none
15,female,73,2.4,38,35,33,postgraduate
16,female,52,1.8,56,59,66,secondary
17,female,71,3.5,59,53,43,postgraduate
18,female,51,2.8,59,52,50,graduate
19,female,73,2.5,45,44,41,postgraduate
20,female,93,2.1,63,67,75,postgraduate
21,male,79,1.6,41,43,41,secondary
22,female,87,3.1,65,78,84,none
23,female,51,2.4,82,82,87,primary
24,female,70,1.0,45,47,47,primary
25,male,82,2.3,81,83,83,none
26,female,61,3.4,37,39,43,postgraduate
27,male,71,4.8,38,40,37,graduate
28,female,93,2.2,84,75,73,primary
29,male,74,3.3,57,50,47,secondary
30,female,98,2.1,85,88,92,none
31,male,76,2.6,86,77,70,graduate
32,male,91,2.8,40,49,53,graduate
33,male,77,3.9,70,72,72,graduate
34,female,65,3.6,48,43,46,secondary
35,female,64,3.1,77,61,53,postgraduate
36,male,96,1.7,78,72,74,graduate
37,male,100,3.0,50,69,69,primary
38,male,93,4.0,50,50,54,primary
39,female,52,3.1,33,39,38,graduate
40,male,86,3.2,92,89,85,primary
41,female,100,2.6,39,46,52,secondary
42,male,56,2.2,60,58,52,none
43,male,70,3.0,61,69,75,secondary
44,male,58,2.3,62,50,47,secondary
45,female,88,0.9,44,41,39,secondary
46,female,67,3.9,59,69,72,graduate
47,male,53,3.2,60,64,67,none
48,female,74,0.5,91,80,72,graduate
49,female,63,0.5,44,46,45,none
50,male,99,2.3,40,40,36,postgraduate
51,male,58,3.1,30,20,13,secondary
52,female,75,1.9,35,33,27,secondary
53,female,51,1.6,83,87,94,graduate
54,female,69,2.4,74,81,81,graduate
55,male,77,2.4,89,80,80,none
56,female,96,2.3,50,43,38,primary
57,male,56,1.3,78,81,90,primary
58,female,93,2.7,31,33,36,secondary
59,male,57,2.5,75,65,59,none
60,female,96,1.0,66,51,37,graduate
61,male,84,3.0,52,54,59,secondary
62,male,63,2.1,82,86,85,graduate
63,male,66,1.7,36,35,32,primary
64,female,85,2.7,42,33,33,secondary
65,female,99,2.2,74,72,68,postgraduate
66,male,89,2.1,64,64,63,graduate
67,female,53,1.7,56,44,34,graduate
68,male,51,2.8,80,71,71,secondary
69,female,55,3.7,72,68,62,secondary
70,female,91,2.4,67,56,53,graduate
71,female,53,1.8,94,100,97,primary
72,female,78,3.4,51,54,51,secondary
73,male,67,2.6,66,65,64,none
74,male,75,1.1,69,72,72,primary
75,female,93,2.7,36,39,37,postgraduate
76,female,83,1.8,30,24,18,postgraduate
77,female,59,3.3,91,100,100,none
78,male,85,0.6,77,77,76,secondary
79,male,63,2.4,66,59,53,postgraduate
80,female,80,3.6,71,68,59,none
81,male,97,2.1,45,51,54,secondary
82,male,64,2.4,68,63,66,none
83,female,57,1.8,48,39,38,graduate
84,female,63,2.3,85,87,89,none
85,female,72,1.1,52,60,63,primary
86,male,89,1.3,73,82,91,primary
87,male,70,1.2,84,79,74,graduate
88,male,65,3.9,44,56,65,secondary
89,female,94,1.0,91,98,96,secondary
90,female,67,1.7,70,83,87,postgraduate
91,female,96,0.9,69,69,71,none
92,male,73,4.0,87,91,91,graduate
93,female,75,2.0,53,56,58,graduate
94,female,74,1.1,38,52,53,secondary
95,female,94,1.8,75,65,62,postgraduate
96,male,90,1.6,92,87,84,none
97,male,78,3.4,59,64,70,graduate
98,female,64,2.3,79,75,73,none
99,male,94,1.3,93,97,96,secondary
100,male,50,3.9,39,51,60,graduate
101,female,74,3.1,52,47,43,secondary
102,male,56,1.6,35,25,19,postgraduate
103,female,58,2.9,55,53,57,graduate
104,male,73,1.0,83,69,64,none
105,male,50,0.7,35,25,20,primary
106,male,93,1.3,59,65,66,graduate
107,male,57,3.3,67,78,85,secondary
108,female,73,4.0,37,26,21,postgraduate
109,female,60,1.4,50,54,55,none
110,female,100,2.5,36,27,22,graduate
111,female,66,4.2,73,61,51,primary
112,female,57,3.3,67,72,75,none
113,male,84,1.9,62,52,44,postgraduate
114,female,84,3.4,64,64,63,graduate
115,female,82,3.4,38,51,55,none
116,female,54,1.7,45,43,42,postgraduate
117,female,91,0.5,52,60,61,secondary
118,female,88,1.7,58,61,66,none
119,male,90,2.3,37,47,47,none
120,female,77,1.3,72,80,82,graduate
121,male,56,2.1,69,70,69,graduate
122,female,58,4.2,41,40,36,postgraduate
123,male,57,2.9,42,40,38,primary
124,female,61,1.3,57,51,49,none
125,male,83,1.3,88,87,83,postgraduate
126,male,82,3.4,43,38,32,graduate
127,female,97,2.3,53,47,46,primary
128,male,72,2.9,78,75,77,secondary
129,female,73,2.8,60,59,54,none
130,male,86,2.4,55,55,59,primary
131,female,84,4.9,79,85,90,graduate
132,female,93,2.1,33,27,26,primary
133,male,89,1.2,85,76,70,postgraduate
134,male,71,2.7,68,72,80,primary
135,male,76,2.5,93,100,100,graduate
136,female,84,2.9,87,91,88,graduate
137,female,50,2.1,32,34,35,none
138,female,84,2.1,45,44,43,graduate
139,female,86,3.8,39,36,35,secondary
140,male,96,3.5,90,97,100,postgraduate
141,male,63,2.3,91,98,96,postgraduate
142,male,52,2.9,58,59,58,none
143,female,50,2.9,93,80,74,secondary
144,male,54,2.4,33,34,32,primary
145,female,75,1.2,79,65,62,primary
146,male,63,0.5,56,45,42,postgraduate
147,female,88,3.2,39,55,63,graduate
148,male,76,2.1,64,57,57,none
149,female,58,3.9,88,87,80,graduate
150,female,64,1.1,81,77,73,postgraduate
151,male,64,2.9,81,84,86,graduate
152,female,75,1.3,90,94,100,postgraduate
153,male,91,2.7,41,39,35,none
154,female,62,1.9,78,79,79,none
155,male,100,0.6,80,93,100,none
156,male,81,3.2,44,35,34,primary
157,male,88,2.9,59,65,66,primary
158,male,98,3.0,56,50,49,none
159,female,81,3.8,58,55,57,primary
160,female,53,3.3,31,29,28,postgraduate
161,male,79,2.1,74,71,66,none
162,female,86,4.5,56,53,51,postgraduate
163,male,72,3.1,86,84,82,graduate
164,female,88,1.5,76,72,73,postgraduate
165,female,94,2.2,85,91,93,primary
166,male,64,1.9,74,64,61,graduate
167,female,92,4.4,55,44,40,secondary
168,male,78,3.5,67,60,56,primary
169,male,85,2.8,48,46,48,none
170,female,62,2.1,83,79,77,secondary
171,male,81,4.5,90,86,85,none
172,female,56,3.7,91,97,99,none
173,female,100,2.1,81,78,77,graduate
174,male,71,2.6,69,76,76,graduate
175,female,77,3.0,78,79,81,primary
176,female,51,1.7,30,36,41,secondary
177,male,91,1.7,84,87,95,graduate
178,male,94,4.5,60,64,63,none
179,female,55,2.4,83,79,72,postgraduate
180,female,77,2.2,86,90,90,secondary
181,male,77,3.3,44,41,39,primary
182,male,93,1.4,83,79,71,none
183,male,93,2.5,72,69,71,graduate
184,female,69,3.8,46,56,59,secondary
185,female,79,1.0,45,32,25,graduate
186,male,60,1.8,48,50,52,none
187,male,77,2.3,62,73,77,primary
188,male,74,1.7,70,72,69,primary
189,female,88,3.7,90,100,100,primary
190,male,82,3.7,85,92,99,primary
191,male,50,3.0,38,25,12,primary
192,female,76,2.4,67,74,76,none
193,male,62,4.1,70,69,67,postgraduate
194,male,90,2.1,83,74,69,primary
195,male,52,2.6,38,44,50,graduate
196,male,88,2.7,30,19,15,graduate
197,female,55,2.0,92,100,100,postgraduate
198,female,57,2.3,57,62,68,postgraduate
199,male,76,1.4,94,86,83,secondary
200,female,58,3.6,35,39,42,primary
201,male,86,0.5,67,67,71,graduate
202,female,82,2.6,70,72,74,none
203,male,100,1.8,83,82,82,primary
204,female,91,2.3,62,60,55,secondary
205,female,93,0.5,39,43,51,secondary
206,female,73,3.6,76,63,59,postgraduate
207,male,64,2.2,91,89,88,graduate
208,female,81,3.1,42,44,46,primary
209,male,81,2.5,34,41,46,none
210,female,73,2.3,42,46,45,graduate
211,male,90,2.9,57,56,56,secondary
212,male,98,1.3,94,90,85,secondary
213,female,98,2.5,59,55,50,primary
214,male,61,1.1,58,58,49,graduate
215,female,88,1.5,93,95,99,graduate
216,male,51,2.0,63,74,76,primary
217,female,52,1.8,73,63,63,postgraduate
218,male,98,2.7,73,73,74,graduate
219,female,86,1.1,93,86,89,graduate
